       xax      ydata      ytrue
   1.00000    1.89776    2.00000
   2.00000    2.75855    3.00000
   3.00000    4.31921    4.00000
   4.00000    5.31286    5.00000
   5.00000    5.13512    6.00000
   6.00000    6.96995    7.00000
   7.00000    7.83512    8.00000
   8.00000    9.62771    9.00000
   9.00000   11.09327   10.00000
  10.00000   12.10927   11.00000
  11.00000   11.13635   12.00000
  12.00000   13.07736   13.00000
  13.00000   12.78588   14.00000
  14.00000   13.88650   15.00000
  15.00000   15.99315   16.00000
  16.00000   18.53263   17.00000
  17.00000   17.23033   18.00000
  18.00000   19.37138   19.00000
  19.00000   19.77442   20.00000
  20.00000   22.11736   21.00000
  21.00000   20.91094   22.00000
  22.00000   23.03256   23.00000
  23.00000   24.55253   24.00000
  24.00000   26.10061   25.00000
  25.00000   27.54421   26.00000
  26.00000   27.08593   27.00000
  27.00000   26.50841   28.00000
  28.00000   28.25770   29.00000
  29.00000   28.93842   30.00000
  30.00000   33.35046   31.00000
  31.00000   31.38440   32.00000
  32.00000   33.74808   33.00000
  33.00000   33.80758   34.00000
  34.00000   35.88861   35.00000
  35.00000   35.23515   36.00000
  36.00000   35.59773   37.00000
  37.00000   36.57762   38.00000
  38.00000   39.48819   39.00000
  39.00000   39.82262   40.00000
  40.00000   40.80395   41.00000
  41.00000   43.41931   42.00000
  42.00000   43.29158   43.00000
  43.00000   44.19781   44.00000
  44.00000   46.58770   45.00000
  45.00000   45.19553   46.00000
  46.00000   47.69662   47.00000
  47.00000   48.83509   48.00000
  48.00000   48.75628   49.00000
  49.00000   50.21567   50.00000
  50.00000   49.83416   51.00000
